id;Gemeente;Groep_rij;Geslacht;Bij geboorte;Bij geboorte (afwijking tov NL);Bij 65 jaar;Bij 65 jaar (afwijking tov NL)
1680;Aa en Hunze;Levensverwachting;Totaal;82,5;boven, 99% zeker;20,5;boven, 99% zeker
1680;Aa en Hunze;Levensverwachting;Mannen;80,0;geen;18,9;boven, 95% zeker
1680;Aa en Hunze;Levensverwachting;Vrouwen;85,0;boven, 99% zeker;22,0;boven, 99% zeker
738;Aalburg;Levensverwachting;Totaal;80,9;geen;19,2;onder, 99% zeker
738;Aalburg;Levensverwachting;Mannen;79,8;geen;17,6;onder, 99% zeker
738;Aalburg;Levensverwachting;Vrouwen;81,9;onder, 95% zeker;20,8;geen
358;Aalsmeer;Levensverwachting;Totaal;83,2;boven, 99% zeker;20,8;boven, 99% zeker
358;Aalsmeer;Levensverwachting;Mannen;80,8;boven, 99% zeker;18,9;boven, 95% zeker
358;Aalsmeer;Levensverwachting;Vrouwen;85,7;boven, 99% zeker;22,6;boven, 99% zeker
197;Aalten;Levensverwachting;Totaal;82,0;boven, 95% zeker;20,4;boven, 99% zeker
197;Aalten;Levensverwachting;Mannen;79,9;geen;18,5;geen
197;Aalten;Levensverwachting;Vrouwen;84,1;boven, 95% zeker;22,0;boven, 99% zeker
59;Achtkarspelen;Levensverwachting;Totaal;81,0;onder, 95% zeker;19,4;onder, 99% zeker
59;Achtkarspelen;Levensverwachting;Mannen;78,9;onder, 99% zeker;17,3;onder, 99% zeker
59;Achtkarspelen;Levensverwachting;Vrouwen;83,1;geen;21,3;geen
482;Alblasserdam;Levensverwachting;Totaal;82,8;boven, 99% zeker;20,8;boven, 99% zeker
482;Alblasserdam;Levensverwachting;Mannen;81,1;boven, 95% zeker;19,8;boven, 99% zeker
482;Alblasserdam;Levensverwachting;Vrouwen;84,6;boven, 99% zeker;21,9;boven, 95% zeker
613;Albrandswaard;Levensverwachting;Totaal;82,7;boven, 99% zeker;20,9;boven, 99% zeker
613;Albrandswaard;Levensverwachting;Mannen;80,9;boven, 99% zeker;18,9;geen
613;Albrandswaard;Levensverwachting;Vrouwen;84,4;boven, 99% zeker;22,9;boven, 99% zeker
361;Alkmaar;Levensverwachting;Totaal;81,7;geen;19,9;geen
361;Alkmaar;Levensverwachting;Mannen;79,7;geen;18,5;geen
361;Alkmaar;Levensverwachting;Vrouwen;83,6;geen;21,2;geen
141;Almelo;Levensverwachting;Totaal;79,7;onder, 99% zeker;19,0;onder, 99% zeker
141;Almelo;Levensverwachting;Mannen;77,7;onder, 99% zeker;17,2;onder, 99% zeker
141;Almelo;Levensverwachting;Vrouwen;81,6;onder, 99% zeker;20,5;onder, 99% zeker
34;Almere;Levensverwachting;Totaal;81,8;boven, 99% zeker;19,8;geen
34;Almere;Levensverwachting;Mannen;80,3;boven, 99% zeker;18,5;geen
34;Almere;Levensverwachting;Vrouwen;83,3;geen;21,1;geen
484;Alphen aan den Rijn;Levensverwachting;Totaal;82,2;boven, 99% zeker;20,3;boven, 99% zeker
484;Alphen aan den Rijn;Levensverwachting;Mannen;80,8;boven, 99% zeker;19,0;boven, 99% zeker
484;Alphen aan den Rijn;Levensverwachting;Vrouwen;83,5;geen;21,6;boven, 99% zeker
1723;Alphen-Chaam;Levensverwachting;Totaal;84,0;boven, 99% zeker;22,7;boven, 99% zeker
1723;Alphen-Chaam;Levensverwachting;Mannen;82,7;boven, 99% zeker;20,7;boven, 99% zeker
1723;Alphen-Chaam;Levensverwachting;Vrouwen;85,1;boven, 95% zeker;24,4;boven, 99% zeker
60;Ameland;Levensverwachting;Totaal;83,3;boven, 95% zeker;22,1;boven, 99% zeker
60;Ameland;Levensverwachting;Mannen;78,9;geen;19,3;geen
60;Ameland;Levensverwachting;Vrouwen;88,0;boven, 99% zeker;24,6;boven, 99% zeker
307;Amersfoort;Levensverwachting;Totaal;81,6;geen;19,6;onder, 99% zeker
307;Amersfoort;Levensverwachting;Mannen;79,7;geen;18,1;onder, 99% zeker
307;Amersfoort;Levensverwachting;Vrouwen;83,2;geen;20,9;onder, 99% zeker
362;Amstelveen;Levensverwachting;Totaal;82,6;boven, 99% zeker;20,5;boven, 99% zeker
362;Amstelveen;Levensverwachting;Mannen;80,8;boven, 99% zeker;19,1;boven, 99% zeker
362;Amstelveen;Levensverwachting;Vrouwen;84,2;boven, 99% zeker;21,6;boven, 99% zeker
