PEILDATUM_LEERLINGEN;PRIKDATUM_ADVIEZEN;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;VSO;PRO;VMBO_B;VMBO_B_K;VMBO_K;VMBO_K_GT;VMBO_GT;VMBO_GT_HAVO;HAVO;HAVO_VWO;VWO;ADVIES_NIET_MOGELIJK;TOTAAL_ADVIES
20170415;20170722;00AP;00;De Schanskorf;2715BT;ZOETERMEER; 637;Zoetermeer;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;1;0;0;0;2;3;1;1;2;0;11
20170415;20170722;00AR;00;"BS ""De Maasparel""";6107AW;STEVENSWEERT;1641;Maasgouw;Limburg;Bo;Rooms-Katholiek;41797;0;0;1;0;0;0;6;0;7;0;7;0;21
20170415;20170722;00AV;00;De Morgenster;3201CN;SPIJKENISSE;1930;Nissewaard;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;1;1;0;0;3;1;0;2;2;0;10
20170415;20170722;00AZ;00;De Kiezel en de Kei;2971AR;BLESKENSGRAAF CA;1927;Molenwaard;Zuid-Holland;Bo;Openbaar;41638;0;0;0;4;0;0;1;4;0;2;4;0;15
20170415;20170722;00BA;00;OBS De Klimboom;6666EB;HETEREN;1734;Overbetuwe;Gelderland;Bo;Openbaar;41530;0;1;2;0;4;0;2;0;13;0;4;0;26
20170415;20170722;00BB;00;Obs Letterwies;9944AR;NIEUWOLDA;1895;Oldambt;Groningen;Bo;Openbaar;41613;0;2;1;0;3;0;2;0;0;0;1;0;9
20170415;20170722;00BS;00;Geref Basisschool;7711KP;NIEUWLEUSEN; 148;Dalfsen;Overijssel;Bo;Gereformeerd vrijgemaakt;41168;0;0;0;0;2;6;2;3;0;5;2;0;20
20170415;20170722;00BW;00;Jenaplanschool De Vlieger;6131KJ;SITTARD;1883;Sittard-Geleen;Limburg;Bo;Algemeen bijzonder;41516;0;0;0;0;0;0;1;0;2;0;4;0;7
20170415;20170722;00BZ;00;Geref SBO Het Speelwerk;8031HL;ZWOLLE; 193;Zwolle;Overijssel;Sbo;Gereformeerd vrijgemaakt;41632;2;3;4;1;1;2;1;0;0;0;0;0;14
20170415;20170722;00CD;00;Basisschool Lockaert;5345JG;OSS; 828;Oss;Noord-Brabant;Bo;Algemeen bijzonder;41228;0;0;0;0;0;3;5;0;2;0;1;0;11
20170415;20170722;00CG;00;De Harlekijn;6372AC;LANDGRAAF; 882;Landgraaf;Limburg;Bo;Openbaar;41516;0;0;5;6;5;1;7;2;9;5;7;0;47
20170415;20170722;00CS;00;De Leilinde;9671JA;WINSCHOTEN;1895;Oldambt;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;0;0;0;0;1;0;3;0;4;0;8
20170415;20170722;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;1674;Roosendaal;Noord-Brabant;Bo;Antroposofisch;41246;0;0;0;0;1;0;0;2;1;5;0;0;9
20170415;20170722;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;  98;Weststellingwerf;Friesland;Bo;Algemeen bijzonder;20210;0;0;0;0;1;1;0;0;0;2;2;0;6
20170415;20170722;00DA;00;Chr BS Betrouwen;9243SJ;BAKKEVEEN;  86;Opsterland;Friesland;Bo;Protestants-Christelijk;30051;0;0;0;0;0;0;0;0;0;0;0;0;4
20170415;20170722;00DD;00;Basissch Het Startnest;1422LE;UITHOORN; 451;Uithoorn;Noord-Holland;Bo;Rooms-Katholiek;30090;0;1;0;0;2;4;5;8;3;6;6;0;35
20170415;20170722;00DM;00;De Bolderik;5473PG;HEESWIJK-DINTHER;1721;Bernheze;Noord-Brabant;Bo;Openbaar;13674;0;0;0;0;1;0;8;1;1;4;4;0;19
20170415;20170722;00DN;00;De Bundeling;6241BB;BUNDE; 938;Meerssen;Limburg;Bo;Openbaar;42669;0;2;1;0;4;4;4;1;3;2;2;0;23
20170415;20170722;00DO;00;Van Rijckevorsel;3151CJ;HOEK VAN HOLLAND; 599;Rotterdam;Zuid-Holland;Bo;Openbaar;41775;0;1;1;1;0;1;1;3;5;0;2;0;15
20170415;20170722;00DW;00;De Trompetter;6986AT;ANGERLO; 299;Zevenaar;Gelderland;Bo;Rooms-Katholiek;61284;0;0;0;0;0;0;4;0;6;1;5;0;16
20170415;20170722;00DX;00;Vrije School Assen;9404KK;ASSEN; 106;Assen;Drenthe;Bo;Antroposofisch;77456;0;0;0;0;0;0;5;2;4;2;4;0;17
20170415;20170722;00DY;00;Basisschool De Wegwijzer;8084GK;'T HARDE; 230;Elburg;Gelderland;Bo;Gereformeerd vrijgemaakt;41632;0;0;1;1;0;1;3;0;3;1;2;0;12
20170415;20170722;00DZ;00;Agnieten-School;8081NB;ELBURG; 230;Elburg;Gelderland;Bo;Rooms-Katholiek;40950;0;0;0;0;0;0;1;0;4;1;6;0;12
20170415;20170722;00EB;00;Bs Het Telraam;5441AK;OEFFELT; 756;Boxmeer;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;2;2;3;9;4;8;4;6;0;38
20170415;20170722;00EH;00;Geref SSBO De Cirkel;2907TK;CAPELLE AAN DEN IJSSEL; 502;Capelle aan den IJssel;Zuid-Holland;Sbo;Gereformeerd vrijgemaakt;41646;0;3;3;0;6;0;2;0;2;1;0;0;17
20170415;20170722;00EI;00;Reform Basisschool;3286BC;KLAASWAAL; 611;Cromstrijen;Zuid-Holland;Bo;Reformatorisch;30133;0;0;1;2;4;0;0;1;7;0;3;0;18
20170415;20170722;00EM;00;SSBO De Wijngaard;2992KK;BARENDRECHT; 489;Barendrecht;Zuid-Holland;Sbo;Reformatorisch;30185;1;7;17;0;0;0;4;1;0;0;0;0;30
20170415;20170722;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK; 874;Woudrichem;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;1;0;0;1;0;0;2;0;1;2;1;0;8
20170415;20170722;00FG;00;BS De Triangel;7557KJ;HENGELO OV; 164;Hengelo;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;0;0;0;0;3;0;3;4;1;0;1;0;12
20170415;20170722;00FI;00;Samenw Basisschool Pork;9561CB;TER APEL;  48;Vlagtwedde;Groningen;Bo;Algemeen bijzonder;45000;0;0;0;4;1;4;3;3;1;1;5;0;22
20170415;20170722;00FQ;00;Montessori BS De Kraal;4691HT;THOLEN; 716;Tholen;Zeeland;Bo;Algemeen bijzonder;30124;0;0;1;1;0;0;2;2;2;0;2;0;10
20170415;20170722;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN; 484;Alphen aan den Rijn;Zuid-Holland;Bo;Reformatorisch;20183;0;0;4;0;0;0;7;2;3;0;1;0;17
20170415;20170722;00GR;00;Kristal;8181VZ;HEERDE; 246;Heerde;Gelderland;Bo;Gereformeerd vrijgemaakt;41632;0;0;0;0;0;2;0;3;1;0;1;0;7
