PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;AFSTAND;LEERLINGEN
20171001;00AO;00;VSO ZMOK De Bolster;7383BH;VOORST GEM VOORST;285;Voorst;Gelderland;Vso;Protestants-Christelijk;20137;4263,07407407407;135
20171001;00AO;01;VSO ZMOK De Bolster;7322CZ;APELDOORN;200;Apeldoorn;Gelderland;Vso;Protestants-Christelijk;20137;8514,46875;32
20171001;00AP;00;De Schanskorf;2715BT;ZOETERMEER;637;Zoetermeer;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;2178,0752688172;93
20171001;00AR;00;"BS ""De Maasparel""";6107AW;STEVENSWEERT;1641;Maasgouw;Limburg;Bo;Rooms-Katholiek;41797;749,542857142857;140
20171001;00AV;00;De Morgenster;3201CN;SPIJKENISSE;1930;Nissewaard;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;2033,22857142857;70
20171001;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;599;Rotterdam;Zuid-Holland;So;Protestants-Christelijk;62077;5342,31666666667;61
20171001;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;599;Rotterdam;Zuid-Holland;Vso;Protestants-Christelijk;62077;0;1
20171001;00AW;02;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;599;Rotterdam;Zuid-Holland;So;Protestants-Christelijk;62077;4223,375;32
20171001;00AW;02;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;599;Rotterdam;Zuid-Holland;Vso;Protestants-Christelijk;62077;0;1
20171001;00AZ;00;De Stapsteen;2971AR;BLESKENSGRAAF CA;1927;Molenwaard;Zuid-Holland;Bo;Openbaar;41638;1806,18095238095;107
20171001;00BA;00;OBS De Klimboom;6666EB;HETEREN;1734;Overbetuwe;Gelderland;Bo;Openbaar;41530;358,24;75
20171001;00BB;00;Obs Letterwies;9944AR;NIEUWOLDA;1895;Oldambt;Groningen;Bo;Openbaar;41613;143,471264367816;87
20171001;00BS;00;Geref Basisschool;7711KP;NIEUWLEUSEN;148;Dalfsen;Overijssel;Bo;Gereformeerd vrijgemaakt;41632;1343,12711864407;118
20171001;00BW;00;Jenaplanschool De Vlieger;6131KJ;SITTARD;1883;Sittard-Geleen;Limburg;Bo;Algemeen bijzonder;41516;2617,78571428571;122
20171001;00BZ;00;Geref SBO Het Speelwerk;8031HL;ZWOLLE;193;Zwolle;Overijssel;Sbo;Gereformeerd vrijgemaakt;41632;9149,02985074627;67
20171001;00CD;00;Basisschool Lockaert;5345JG;OSS;828;Oss;Noord-Brabant;Bo;Algemeen bijzonder;41228;253,967105263158;152
20171001;00CG;00;De Harlekijn;6372AC;LANDGRAAF;882;Landgraaf;Limburg;Bo;Openbaar;41516;423,69820971867;392
20171001;00CS;00;De Leilinde;9671JA;WINSCHOTEN;1895;Oldambt;Groningen;Bo;Gereformeerd vrijgemaakt;41025;5715,41333333333;75
20171001;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;1674;Roosendaal;Noord-Brabant;Bo;Antroposofisch;41246;4688,54098360656;61
20171001;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;98;Weststellingwerf;Friesland;Bo;Algemeen bijzonder;20210;2960,54901960784;51
20171001;00DA;00;Chr BS Betrouwen;9243SJ;BAKKEVEEN;86;Opsterland;Friesland;Bo;Protestants-Christelijk;30051;1031,61643835616;73
20171001;00DD;00;Basissch Het Startnest;1422LE;UITHOORN;451;Uithoorn;Noord-Holland;Bo;Rooms-Katholiek;30090;459,02479338843;242
20171001;00DM;00;De Bolderik;5473PG;HEESWIJK-DINTHER;1721;Bernheze;Noord-Brabant;Bo;Openbaar;13674;154,375;129
20171001;00DN;00;De Bundeling;6241BB;BUNDE;938;Meerssen;Limburg;Bo;Openbaar;42669;1475,27857142857;140
20171001;00DO;00;Van Rijckevorsel;3151CJ;HOEK VAN HOLLAND;599;Rotterdam;Zuid-Holland;Bo;Openbaar;41775;531,22962962963;135
20171001;00DW;00;De Trompetter;6986AT;ANGERLO;299;Zevenaar;Gelderland;Bo;Rooms-Katholiek;61284;527,677165354331;127
20171001;00DX;00;Vrije School Assen;9404KK;ASSEN;106;Assen;Drenthe;Bo;Antroposofisch;77456;6429,5;182
20171001;00DY;00;Basisschool De Wegwijzer;8084GK;'T HARDE;230;Elburg;Gelderland;Bo;Gereformeerd vrijgemaakt;41632;66,6451612903226;124
20171001;00DZ;00;Agnieten-School;8081NB;ELBURG;230;Elburg;Gelderland;Bo;Rooms-Katholiek;40950;6028,2125;160
20171001;00EB;00;Bs Het Telraam;5441AK;OEFFELT;756;Boxmeer;Noord-Brabant;Bo;Rooms-Katholiek;48348;129,40350877193;171
20171001;00EH;00;Geref SSBO De Cirkel;2907TK;CAPELLE AAN DEN IJSSEL;502;Capelle aan den IJssel;Zuid-Holland;Sbo;Gereformeerd vrijgemaakt;41646;8462,41509433962;53
20171001;00EI;00;Reform Basisschool;3286BC;KLAASWAAL;611;Cromstrijen;Zuid-Holland;Bo;Reformatorisch;30133;1292,82666666667;150
20171001;00EM;00;SSBO De Wijngaard;2992KK;BARENDRECHT;489;Barendrecht;Zuid-Holland;Sbo;Reformatorisch;30185;9330,92045454545;176
20171001;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;874;Woudrichem;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;4684,5671641791;67
20171001;00FG;00;BS De Triangel;7557KJ;HENGELO OV;164;Hengelo;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;2359,26530612245;99
20171001;00FI;00;Samenw Basisschool Pork;9561CB;TER APEL;48;Vlagtwedde;Groningen;Bo;Algemeen bijzonder;45000;128,417431192661;221
20171001;00FQ;00;Montessori BS De Kraal;4691HT;THOLEN;716;Tholen;Zeeland;Bo;Algemeen bijzonder;30124;2048,921875;64
20171001;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;484;Alphen aan den Rijn;Zuid-Holland;Bo;Reformatorisch;20183;4080,69852941176;136
20171001;00GR;00;Kristal;8181VZ;HEERDE;246;Heerde;Gelderland;Bo;Gereformeerd vrijgemaakt;41632;1327,17142857143;105
20171001;00GV;00;Basisschool Maria-School;7661RA;VASSE;183;Tubbergen;Overijssel;Bo;Rooms-Katholiek;50949;726,374045801527;138
20171001;00GX;00;RK BS St Jacobus;6675BB;VALBURG;1734;Overbetuwe;Gelderland;Bo;Rooms-Katholiek;28147;267,163461538462;104
20171001;00GZ;00;Maharishi Basisschool;8226LP;LELYSTAD;995;Lelystad;Flevoland;Bo;Algemeen bijzonder;41335;2106,41379310345;58
20171001;00HA;00;Ref Basissch Augustinus;3851BH;ERMELO;233;Ermelo;Gelderland;Bo;Reformatorisch;30128;2873,07692307692;234
20171001;00HH;00;OBS De Vliete;4491GB;WISSENKERKE;1695;Noord-Beveland;Zeeland;Bo;Openbaar;41670;554,934210526316;76
20171001;00HZ;00;Klavertje 4;3421XL;OUDEWATER;589;Oudewater;Utrecht;Bo;Algemeen bijzonder;20252;1002,55208333333;192
20171001;00IF;00;RK BS Heilig Hart;7666LH;FLERINGEN;183;Tubbergen;Overijssel;Bo;Rooms-Katholiek;50949;396,216216216216;74
20171001;00IH;00;De Horizon;6835HZ;ARNHEM;202;Arnhem;Gelderland;Sbo;Rooms-Katholiek;40812;2385,23648648649;148
